sprint,item_id,title,registry_status,files_touched,art1_intake,art2_impact_analysis,art3_implementation_plan,art4_code_gate,art5_impl_summary_qa,art6_owner_smoke_signoff,art0_session_start,missing_count,severity,existing_docs_path,owner_verified_in_prose,tracked_in_open_gaps,estimated_doc_effort_hrs,recommended_action,notes,audit_revision,archived
POS 2.0,POS2-003,Print Agent Mapping,IMPLEMENTED + QA PASSED,orderTransform.js; OrderEntry.jsx,MISSING,PRESENT,PRESENT,MISSING,PRESENT,PRESENT,N/A,2,MEDIUM,memory/change_requests/qa_reports/POS2_003_FU_02_PRINTER_AGENT_NULL_GAP_ANALYSIS_2026_05_08.md; memory/change_requests/sprint_consolidation/POS2_0_OWNER_DECISIONS_AMENDMENT_2026_05_09.md; memory/change_requests/impact_analysis/POS2_003_PRINT_AGENT_MAPPING_CR_IMPACT_ANALYSIS_2026_05_08.md; memory/change_requests/implementation_plans/POS2_003_PRINT_AGENT_MAPPING_IMPLEMENTATION_PLAN_2026_05_08.md; memory/change_requests/implementation_summaries/POS2_005_F_STATUS_8_HOLD_REROUTE_IMPLEMENTATION_SUMMARY.md,FALSE,FALSE,1.0,Write remaining 2 artifact(s); near-closure,Awaiting live tenant smoke,v2.9_2026_05_30,
POS 2.0,POS2-003-FU-02,printer_agent null on Collect Bill,IMPLEMENTED,CollectPaymentPanel.jsx,MISSING,MISSING,PRESENT,MISSING,PARTIAL,MISSING,N/A,4,HIGH,change_requests/qa_reports/POS2_003_FU_02_PRINTER_AGENT_NULL_GAP_ANALYSIS_2026_05_08.md,FALSE,FALSE,1.5,Write Intake + Impact + Code Gate + Impl Summary + Smoke,Awaiting live tenant smoke,v2.9_2026_05_30,
POS 2.0,POS2-003-REOPEN-A,Update/cancel printer_agent + v2 endpoint review,IMPLEMENTED + WIRE QA PASSED,orderTransform.js; orderService.js,MISSING,PRESENT,PRESENT,MISSING,PRESENT,MISSING,N/A,3,MEDIUM,change_requests/impact_analysis/POS2_003_REOPEN_*; qa_reports/POS2_003_REOPEN_A_WIRE_LEVEL_QA_REPORT_2026_05_09.md; implementation_summaries/POS2_003_REOPEN_A_*,FALSE,FALSE,1.0,Write Intake + Code Gate + Owner Smoke Sign-off,29/29 wire cases pass; live tenant smoke pending,v2.9_2026_05_30,
POS 2.0,POS2-005,f_status=8 Hold/Audit reroute,IMPLEMENTED + QA PASSED,DashboardPage.jsx; OrderTable.jsx,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/crs/intake/POS2-005-FU__B_INTAKE_2026_05_30.md; control/sessions/SESSION_START_2026_05_30_SUBSUMED_BACKLOG_ATTESTATION.md; memory/change_requests/impact_analysis/POS2_005_F_STATUS_8_HOLD_REROUTE_CR_IMPACT_ANALYSIS_2026_05_08.md; memory/change_requests/impact_analysis/POS2_005_FU_STATUS_8_9_COLLECT_BILL_AND_PG_FILTER_INVESTIGATION_2026_05_09.md; memory/change_requests/impact_analysis/POS2_006_CONFIRM_ORDER_TONE_INVESTIGATION_2026_05_09.md,FALSE,FALSE,1.0,All artifacts present (or WAIVED) — archived from active register,Status columns exclude id:8,v2.9_2026_05_30,Y
POS 2.0,POS2-005-FU §A,Collect-Bill hidden for status-8,IMPLEMENTED,OrderTable.jsx,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,N/A,5,CRITICAL,change_requests/impact_analysis/POS2_005_FU_STATUS_8_9_COLLECT_BILL_AND_PG_FILTER_INVESTIGATION_2026_05_09.md,FALSE,FALSE,1.5,Write Intake + Plan + Code Gate + Impl Summary + Smoke,Code-walk PASS only,v2.9_2026_05_30,
POS 2.0,POS2-007 Phase 1,Confirm-order tone FE override,IMPLEMENTED + QA PASSED,DashboardPage.jsx; soundManager.js,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,N/A,5,CRITICAL,qa_reports/POS2_007_PHASE1_CONFIRM_ORDER_TONE_OVERRIDE_QA_REPORT.md; implementation_summaries/POS2_007_PHASE1_*,FALSE,FALSE,1.5,Write Intake + Impact + Plan + Code Gate + Smoke,,v2.9_2026_05_30,
POS 3.1,BUG-109,QSR takeaway/delivery customer validation parity,SHIPPED + VERIFIED,CartPanel.jsx,PRESENT,MISSING,PRESENT,WAIVED,MISSING,MISSING,MISSING,3,MEDIUM,memory/change_requests/POS_QSR_BUGS_BUG_109_BUG_110_DISCOVERY_REGISTRATION_2026_05_27.md; memory/bugs/code_gate_waivers/BUG_109_CG_WAIVER.md; control/CODE_GATE_WAIVER_REGISTRY_2026_05_30.md,TRUE,FALSE,1.0,Write Impact + Impl Summary + QA Report + Owner Smoke Sign-off (reconstruct from HANDOVER_NEXT_AGENT_2026_05_27.md),Owner-verified in handover prose; T-DISCOUNT-CLUB PASS,v2.9_2026_05_30,
POS 3.1,BUG-110,QSR prepaid lock parity,SHIPPED + VERIFIED,CartPanel.jsx,PRESENT,MISSING,PRESENT,WAIVED,MISSING,MISSING,MISSING,3,MEDIUM,memory/change_requests/POS_QSR_BUGS_BUG_109_BUG_110_DISCOVERY_REGISTRATION_2026_05_27.md; memory/bugs/code_gate_waivers/BUG_110_CG_WAIVER.md; control/CODE_GATE_WAIVER_REGISTRY_2026_05_30.md,TRUE,FALSE,1.0,Write Impact + Impl Summary + QA Report + Owner Smoke Sign-off,Owner-verified in handover prose,v2.9_2026_05_30,
POS 3.1,BUG-111,QSR bill parity (Grand Total + breakdown),SHIPPED + VERIFIED,CartPanel.jsx; OrderEntry.jsx,PRESENT,PRESENT,PRESENT,WAIVED,MISSING,MISSING,MISSING,2,MEDIUM,memory/bugs/intake/BUG_111_INTAKE_2026_05_30.md; memory/bugs/AUDIT_REPORT_API_INVESTIGATION_2026_05_27.md; memory/bugs/code_gate_waivers/BUG_111_CG_WAIVER.md; control/CODE_GATE_WAIVER_REGISTRY_2026_05_30.md,TRUE,FALSE,1.5,Write remaining 2 artifact(s); near-closure,Owner-verified via T-DISCOUNT-CLUB PASS (handover prose),v2.9_2026_05_30,
CRM 2.0,CR-002,Cross-Sell + Customer Intelligence,CODE-COMPLETE,4 new files + 4 modified (customerIntelService.js; customerIntelTransform.js; useCustomerIntel.js; relativeTime.js; OrderEntry.jsx; CustomerModal.jsx; ItemNotesModal.jsx; OrderNotesModal.jsx),PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,N/A,0,RESOLVED,memory/change_requests/production_hotfixes/PROD_HOTFIX_006_007_INTAKE_2026_05_29.md; memory/crm/crm_2_0/implementation/CRM2_0_CR_002_CROSS_SELL_REQUIREMENTS_FREEZE_2026_05_26.md; memory/crm/crm_2_0/contract/CRM2_0_CR_002_CROSS_SELL_CONTRACT_FREEZE_2026_05_26.md; control/SUBSUMED_BACKLOG_OWNER_ATTESTATION_2026_05_30.md; control/sessions/SESSION_START_2026_05_30_SUBSUMED_BACKLOG_ATTESTATION.md,FALSE,TRUE,2.0,All artifacts present (or WAIVED) — archived from active register,OG-02 (P1) + OG-10 (preview gate bypass) already tracked,v2.9_2026_05_30,Y
Standalone,Audit Report Optimization CR,Transform rewrite + dual-mode OrderDetailSheet + Paid→Settled,SHIPPED,reportTransform; reportService; OrderDetailSheet; FilterBar; FilterTags; AllOrdersReportPage,MISSING,PRESENT,PRESENT,MISSING,PRESENT,MISSING,N/A,3,MEDIUM,change_requests/AUDIT_REPORT_OPTIMISE_CR_CLEAN_PLAN_2026_05_28.md; change_requests/AUDIT_REPORT_CR_QA_HANDOVER_2026_05_29.md; bugs/AUDIT_REPORT_*.md,FALSE,FALSE,1.5,Write Intake + Code Gate + Owner Smoke Sign-off,reportService.js reduced 1257→744 lines,v2.9_2026_05_30,
Production Hotfix,PROD-001,Prepaid auto-settle print guard,CLOSED — OWNER VERIFIED,(planning only — no code fix needed),PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/PROD_001_INTAKE_2026_05_30.md; memory/bugs/code_gate_waivers/PROD_001_CG_WAIVER.md; control/CODE_GATE_WAIVER_REGISTRY_2026_05_30.md,TRUE,FALSE,0.5,All artifacts present (or WAIVED) — archived from active register,10/10 QA PASS; only true near-fully-closed item,v2.9_2026_05_30,Y
Production Hotfix,PROD-002,Settle print guard,RUNTIME-QA-PENDING,(no code fix),MISSING,PRESENT,MISSING,MISSING,PARTIAL,MISSING,N/A,4,HIGH,change_requests/production_hotfixes/PROD_BUG_002_AUTO_KOT_AUTO_BILL_TRIGGER_INVESTIGATION_2026_05_21.md; PROD_BUG_002_SETTLE_PRINT_GUARD_RUNTIME_QA_CHECKLIST_2026_05_21.md,FALSE,FALSE,0.5,Run 25-row checklist then close,Pending by design,v2.9_2026_05_30,
Production Hotfix,PROD-003,PayLater table clear,"FE-VERIFIED, BE-FOLLOWUP",(FE only — backend must emit on update-order-paid),MISSING,PRESENT,PRESENT,MISSING,PRESENT,MISSING,N/A,3,MEDIUM,change_requests/production_hotfixes/PROD_BUG_003_*.md (5 docs),FALSE,TRUE,1.0,Write Intake + Code Gate + Owner Smoke Sign-off; await BE follow-up,Backend follow-up open,v2.9_2026_05_30,
Production Hotfix,PROD-HOTFIX-004,Walk-in cart not cleared on stay-on-order,SHIPPED,DashboardPage.jsx (+2 lines),MISSING,PARTIAL,PARTIAL,MISSING,PARTIAL,MISSING,N/A,3,MEDIUM,change_requests/production_hotfixes/PROD_HOTFIX_004_WALKIN_CART_NOT_CLEARED_2026_05_27.md (single combined doc),FALSE,FALSE,1.0,"Split combined doc into Intake + Impact + Plan + Code Gate + QA + Smoke OR formally accept ""combined hotfix doc"" convention",Single-file doc fails artifact rule,v2.9_2026_05_30,
Production Hotfix,PROD-HOTFIX-005,Prepaid screen clear delay,SHIPPED,DashboardPage.jsx (+5 lines),MISSING,PARTIAL,PARTIAL,MISSING,PARTIAL,MISSING,N/A,3,MEDIUM,change_requests/production_hotfixes/PROD_HOTFIX_005_PREPAID_SCREEN_CLEAR_DELAY_2026_05_27.md (single combined doc),FALSE,FALSE,1.0,Same as PROD-004,Single-file doc fails artifact rule,v2.9_2026_05_30,
Production Hotfix,PROD-007,Loyalty earn points displayed on Collect Bill,CLOSED — OWNER VERIFIED,loyaltyTransform.js (+3); CollectPaymentPanel.jsx (+5),PRESENT,PRESENT,MISSING,WAIVED,MISSING,PRESENT,MISSING,2,MEDIUM,memory/bugs/intake/PROD_007_INTAKE_2026_05_30.md; memory/change_requests/production_hotfixes/PROD_007_008_IMPACT_ANALYSIS_2026_05_29.md; memory/bugs/code_gate_waivers/PROD_007_CG_WAIVER.md; control/CODE_GATE_WAIVER_REGISTRY_2026_05_30.md; memory/BIG_BATCH_CLOSURE_001_OWNER_SMOKE_SIGNOFF_2026_05_30.md,TRUE,FALSE,1.0,Write remaining 2 artifact(s); near-closure,Owner verified in prose only; CR_REGISTRY shows both INTAKE and CLOSED states (registry self-contradiction),v2.9_2026_05_30,
Production Hotfix,PROD-008,Manual KOT/Bill print custName & custPhone NULL,CLOSED — OWNER VERIFIED,orderService.js (+2 lines L155-156),PRESENT,PRESENT,MISSING,WAIVED,MISSING,PRESENT,MISSING,2,MEDIUM,memory/bugs/intake/PROD_008_INTAKE_2026_05_30.md; memory/change_requests/production_hotfixes/PROD_007_008_IMPACT_ANALYSIS_2026_05_29.md; memory/bugs/code_gate_waivers/PROD_008_CG_WAIVER.md; control/CODE_GATE_WAIVER_REGISTRY_2026_05_30.md; memory/BIG_BATCH_CLOSURE_001_OWNER_SMOKE_SIGNOFF_2026_05_30.md,TRUE,FALSE,1.0,Write remaining 2 artifact(s); near-closure,Owner verified in prose only,v2.9_2026_05_30,
POS 2.0,BUG-057,Prepaid Order Missing Print Bill Button,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_056_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-059,Audit Report Print Bill option for Completed/Cancelled Orders,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_056_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-060,Table Remains Occupied After Transferring Order to Room,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/change_requests/final_sprint_reconciliation/POS3_0_REQUIREMENT_SOURCE_FOR_INTAKE_2026_05_18.md; memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-061,Room Check-in Time Not Showing in Audit Report,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/change_requests/final_sprint_reconciliation/POS3_0_REQUIREMENT_SOURCE_FOR_INTAKE_2026_05_18.md; memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-068,Pending Scan & Order Popup After Socket Reconnect,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_056_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-071,"UI and Bills Show User-Facing Order ID, Not Database ID",CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_009_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_076_INTAKE_2026_05_30.md; memory/change_requests/final_sprint_reconciliation/POS2_0_WAVE_5_OWNER_APPROVAL_PLAN_2026_05_17.md; memory/change_requests/final_sprint_reconciliation/POS2_0_OWNER_DECISION_BUG_PLANNING_2026_05_17.md; memory/bugs/POS2_0_BUG_IMPACT_ANALYSIS.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-065,Corporate Room Check-in Details Not Captured/Passed to Bill/BOS,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/change_requests/final_sprint_reconciliation/POS3_0_REQUIREMENT_SOURCE_FOR_INTAKE_2026_05_18.md; memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_080_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-070,Area-wise Segregation Missing in Table/Channel View,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_070_INTAKE_2026_05_30.md; memory/change_requests/final_sprint_reconciliation/POS2_0_WAVE_5_OWNER_APPROVAL_PLAN_2026_05_17.md; memory/change_requests/final_sprint_reconciliation/POS2_0_OWNER_DECISION_BUG_PLANNING_2026_05_17.md; memory/bugs/POS2_0_BUG_IMPACT_ANALYSIS.md; memory/change_requests/final_sprint_reconciliation/POS2_0_MASTER_PLAN_AUDIT_AND_CORRECTION_2026_05_17.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-074,Login Remember Me Button Not Working,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_056_INTAKE_2026_05_30.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-082,Read Socket Index 4 as Primary Web Source,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_082_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_010_INTAKE_2026_05_30.md; memory/change_requests/final_sprint_reconciliation/POS2_0_OWNER_DECISION_BUG_PLANNING_2026_05_17.md; memory/change_requests/final_sprint_reconciliation/POS2_0_WAVE_6_OWNER_APPROVAL_PLAN_2026_05_17.md; memory/bugs/POS2_0_BUG_IMPACT_ANALYSIS.md,,,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 smoke backfill batch (auto-promoted),v2.9_2026_05_30,Y
POS 2.0,BUG-053,GST Split Label Should Not Hardcode SGST/CGST Percentage When Item-Level GST Differs,CLOSED — OWNER VERIFIED,,PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,PRESENT,0,RESOLVED,memory/bugs/intake/BUG_066_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_052_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_062_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_055_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_012_INTAKE_2026_05_30.md,Y,N,0,All artifacts present (or WAIVED) — archived from active register,Added 2026-05-30 big-batch closure v2.6,v2.9_2026_05_30,Y
